word,arti,contoh,bahasa
AKSIS,poros,,
AKSON,tonjolan serat saraf yang dimulai pada sel saraf,,Anatomi
AKTAN,"peran berulang yang memanifestasikan
diri sebagai peran nyata dalam cerita di seluruh dunia dan lintas waktu (misalnya pahlawan, pembantu, dan sebagainya)",,
AKTIF,"giat (bekerja, berusaha)",ia -- di bidang olahraga,
AKTIN,filamen tipis dalam miofibril yang berinteraksi dengan miosin untuk menciptakan ketegangan otot,,Biologi
AKTIP,→ aktif,,
AKTOR,"pria yang berperan sebagai pelaku dalam pementasan cerita, drama, dan sebagainya di panggung, radio, televisi, atau film",,
AKUAN,yang telah diakui,,
AKUWU,jabatan kepala daerah pada Zaman Kediri (Abad XII),,
AKWAI,"tumbuhan asal Pegunungan Arfak, Papua Barat, kulitnya digunakan sebagai afrosidiak atau pembangkit gairah",,Botani
AKWAL,pembicaraan,,Arab
ALAAN,bagian sungai yang banyak ikannya,,Batak
ALAMA,"kemenyan berbentuk serbuk, dibuat dari getah meranti",,Gorontalo
ALAMI,bersangkutan dengan alam,,
ALANA,daun yang digunakan untuk mengeluarkan bisa ular dengan cara diolesi dengan kapur sirih dan ditempelkan pada bagian tubuh yang digigit,bapak menempelkan -- di kakinya yang tergigit ular,
ALANE,kayu yang berukuran besar,,
ALANG,sesuatu yang melintang,ditariknya garis --,
ALARM,"tanda bahaya berupa sinyal, bunyi, sinar, dan sebagainya",,
ALATA,keladi yang tumbuh di sela-sela padi,,Gorontalo
ALATI,"pembungkus biji pala yang berwarna cokelat kehitaman, tempat menempelnya fuli, berbentuk seperti tempurung tipis",,Alune
ALBAN,"kutan yang berwarna cerah, terletak di dalam irisan tipis tanah sebagai akibat proses reduksi dan alih tempat",,Ilmu Tanah
ALBAS,batu pualam yang berwarna putih,,
ALBER,alat (peralatan) berat,,akronim
ALBIT,felspar putih,,Kimia
ALBUM,"buku tempat menyimpan kumpulan foto (potret), prangko, dan sebagainya",,
ALDOL,"senyawa yang dibuat dari asetaldehida, terdapat pada apel, kopi, anggur, keju, brokoli, serta sayur dan buah yang digunakan sebagai sedatif dan hipnotik",,Kimia
ALENA,senyawa organik yang satu atom karbonnya memiliki ikatan rangkap dengan tiap-tiap dua atom karbon yang berdekatan,,Kimia
ALEPA,"memoles badan perahu dengan lepa, dilakukan oleh sedikitnya enam orang selama lebih kurang 12 jam",,Bugis
ALGAM,"kepingan yang hilang (tentang keramik, vas, tegel, dan lain-lain)",,Batak
ALGIN,"senyawa karbohidrat murni yang diperoleh dari ganggang cokelat, banyak digunakan karena kemampuannya mengikat air, mengentalkan, dan membentuk emulsi",,Biologi
ALGOL,bahasa pemrograman yang berorientasi pada prosedur dan algoritma yang biasanya digunakan pada pemrograman masalah sains,,Komputer
ALHUB,alat perhubungan,,akronim
ALIAH,"tingkat pendidikan menengah atas di bawah koordinasi Kementerian Agama yang memberikan materi pelajaran umum, terutama pelajaran agama Islam",pesantren ini memiliki tingkat sanawiah dan -- dengan lama belajar enam tahun,Pendidikan
ALIAS,disebut juga,Parto -- Slamet,Partikel
ALIBI,bukti bahwa seseorang ada di tempat lain ketika peristiwa pidana terjadi (tidak berada di tempat kejadian),,Hukum
ALIEN,"makhluk asing yang berasal dari luar bumi, biasa terdapat dalam cerita atau film fiksi sains",,
ALILA,"mengecek kebun, dilakukan setiap pagi hari",semua pemilik kebun pergi -- setiap hari,
ALING,"lindung, tutup",,
ALINO,menggambarkan sesuatu dengan contoh,,Dani
ALINS,peralatan instruksi,,akronim
ALKAH,darah beku (bakal bayi dalam kandungan),,Arab
ALKAP,alat perlengkapan,,akronim
ALKES,alat kesehatan,,akronim
ALKIL,kumpulan radikal organik,,Kimia
ALKOM,alat komunikasi,,akronim
ALKON,saluran pembuangan air untuk mengalirkan air yang tergenang dalam badan perahu motor,,Karey
ALKUS,Sagitarius,,
ALLAH,nama Tuhan dalam bahasa Arab,demi --,
ALMIL,alat militer,,akronim
ALMON,badam1,,
ALOCO,upacara menyucikan senjata yang dilaksanakan pada setiap bulan Sura,,Madura
ALOHA,kasih (lazim digunakan untuk memberi selamat atau salam),,Ungkapan
ALOIN,"senyawa kristal berwarna kuning dan berasa pahit, diperoleh dari lidah buaya dan digunakan sebagai laksatif",,Kimia
ALONG,hasil tangkapan nelayan yang melimpah,"ketika musim barat, nelayan jarang memperoleh --",Jawa
ALOSA,gula dari kelompok aldoheksosa,,Kimia
ALOSU,"alat bunyi-bunyian berupa kotak bertangkai dari anyaman daun kelapa, di dalamnya diberi biji yang apabila digoyang-goyang akan mengeluarkan bunyi tertentu (di Sulawesi Selatan)",,
ALOUN,tempat berkumpulnya satu marga di dalam desa,kami sering bertemu di -- untuk membicarakan acara adat,Hitu
ALPAL,alat peralatan,,akronim
ALPIN,habitat yang terdapat di atas garis pohon dan di bawah garis salju di kawasan pegunungan,,Biologi
ALPIS,kempis (tentang perut wanita yang  baru selesai melahirkan),,Batak
ALSIL,"alat untuk membersihkan rumput-rumput kecil di kebun, berbentuk seperti parang, tetapi ujungnya lebih lebar dan tajam",-- dipakai Ayah untuk membersihkan rumput-rumput kecil di kebun,Kur
ALTAR,meja tempat kurban misa,,Agama Katolik
ALTER,mengubah atau merombak pola atau bagian dari busana agar sesuai dengan ukuran dan bentuk yang dikehendaki,,
ALULA,selaput pada pangkal sayap beberapa serangga,,Biologi
ALUNE,"suku bangsa yang mendiami daratan Pulau Seram, Kabupaten Maluku Tengah, Provinsi Maluku",,
ALUNG,"barang (gundu, mata uang, bola kecil, atau keping logam) yang dilemparkan pada sasaran dalam permainan anak-anak",,
ALUSI,majas perbandingan yang merujuk secara tidak langsung seorang tokoh atau peristiwa pada karya sastra,,Sastra
ALWAH,kayu gaharu,,
AMALI,berdasarkan atau berhubungan dengan amal,tasawuf --,Arab
AMALO,ukuran segenggam tangan hasil padi yang dipanen dengan ani-ani,,Gorontalo
AMANE,negeri adat yang dikepalai oleh seorang latu (raja),,Melayu Ambon
AMANG,ancam,,
AMATI,saudara perempuan ayah,,Arab
AMATO,"ucapan selamat tinggal, selamat jalan",,Melayu Ambon
AMBAH,pertukangan,,Arkais
AMBAI,jaring yang dipasang pada belat dan sebagainya,pencari ikan menahan --nya,
AMBAK,"cari: diambak, mengambak",,prakategorial
AMBAL,"penganan khas Tonsea terbuat dari adonan tepung ketan, lemak babi, dan jahe, dibungkus dengan daun, lalu dimasak atau dikukus dalam talang atau buluh",,Minahasa Tonsea
AMBAN,sarung atau songket yang dililitkan pada pinggang saat memakai baju melayu,,Melayu Jambi
AMBAR,damar yang keras seperti batu yang terdapat di dasar laut dan berbau harum (ada yang berasal dari perut ikan laut),,
AMBAT,→ hambat (1),,
AMBAU,rakit yang dipasang di kiri kanan perahu agar perahu tidak mudah terbalik,,
AMBEG,→ ambek (3),,
AMBEK,"cari: ambekan, mengambek",,prakategorial
AMBEN,balai-balai,,Jawa
AMBER,"orang yang tidak termasuk rumpun asli Papua (kaum pendatang) seperti orang Bugis, orang Jawa, orang Batak",di Papua banyak terdapat orang -- menjadi pengusaha sukses,Papua
AMBET,bebat bayi,,Cakapan
AMBIL,"pegang lalu bawa, angkat, dan sebagainya",salah -- salah mengambil,
AMBIN,kain (tali dan sebagainya) pengikat anak (barang dan sebagainya) yang digendong,,
AMBIR,kamar atau bilik yang terdapat di kiri dan kanan badan rumah,,
AMBIS,tarik dengan keras,-- ranting itu agar daunnya cepat gugur,Bali
AMBOI,"kata seru yang menyatakan rasa heran, kasihan, atau kagum","--, alangkah indahnya awan di langit itu",Partikel
AMBOK,"keranjang dari daging rotan yang dianyam rapat-rapat, berukuran sedang seperti kerucut, digunakan untuk mengangkut padi",,Benuaq
AMBON,ibu kota Provinsi Maluku,,
AMBUA,burung gagak yang bersuara merdu,,Berik
AMBUH,embuh,,Arkais
AMBUL,anjal,,
AMBUR,cari: mengambur,,prakategorial
AMDAL,analisis mengenai dampak lingkungan,,akronim
AMEBA,"protozoa tanpa dinding sel, bentuknya selalu berubah, bergerak dengan kaki semu, biasanya hidup di air atau sebagai parasit pada hewan lain",,Zoologi
AMETO,"tali yang terbuat dari tali gaba-gaba yang masih muda, diikat pada ratee",,
AMIAH,bersifat kebanyakan,,
AMIDA,golongan senyawa bernitrogen yang berkaitan atau diturunkan dari amonia,,Kimia
AMIDO,"senyawa aromatik yang mengandung –NH₂, misalnya dalam amidobenzena",,Kimia
AMIEN,→ amin,,
AMINA,kumpulan senyawa organik yang mengandung nitrogen,,Kimia
AMINO,bentuk terikat pada istilah kimia organik untuk mengatakan bahwa suatu senyawa mengandung gugus NH₂ yang dicantumkan langsung pada atom karbon,,Kimia
AMIUG,tersebar luas (tentang berita),berita tentang pernikahannya sudah --,Bali
AMONG,perhiasan yang dipakai seseorang ketika akan dilantik menjadi ondoafi,,
AMORF,tidak mempunyai bentuk atau tidak jelas bentuknya,,
AMOSI,bulu pada kelamin laki-laki,,Dani
AMPAH,kayu-kayu yang ikut hanyut ketika musim banjir,,Dayak
AMPAI,panjang (tinggi) dan ramping,badannya --,
AMPAK,padi yang tidak ada isinya,hasil panen kali ini banyak --,Melayu Kalimantan
AMPAL,"sapi atau kerbau putih dengan tanduk
dan kuku berwarna hitam",,Bali
AMPAR,padi yang sudah menguning,,Gayo
AMPAS,sisa barang yang telah diambil sarinya atau patinya,-- kecap,
AMPAT,empat,,Numeralia
AMPAU,ikan pari yang dikeringkan,,Benuaq
AMPEK,sesak napas karena penyakit bengek (asma dan sebagainya),,Melayu Jakarta
AMPEL,buluh,,Jawa
AMPEN,tali kail yang terbuat dari bahan benang,,Using
AMPET,menahan sesuatu agar tidak keluar (seperti napas dan kencing),,Jawa
AMPIG,penutup bagian depan dan belakang langit-langit rumah,,Sunda
AMPIK,sarung yang biasa digunakan wanita,,Benuaq
AMPIL,gulungan daun sirih yang akan dikunyah,,Sasak
AMPIS,pembatas kanan kiri jalan agar hewan berjalan lurus menuju jebakan,,Melayu Medan
AMPIT,dapat disusul atau dapat terkejar,,Sumbawa
AMPOG,penganan yang terbuat dari dedak jagung,,Using
AMPOK,"nasi yang bahan dasarnya jagung, ditumbuk halus menjadi tepung, kemudian diberi percikan air sedikit agar lembap dan langsung ditanak, biasanya dimakan dengan parutan kelapa dan ditambah sedikit gula",,
AMPON,gelar untuk bangsawan laki-laki keturunan sultan dalam masyarakat adat Aceh,,Aceh
AMPOR,ujung tajam pada tanaman bambu atau kayu,,
AMPOS,tidak bertenaga,"setelah mencangkul, badan terasa --",Jawa
AMPOT,tudung pengantin laki-laki Mandailing,,Batak
AMPUH,mempunyai kekuatan gaib yang luar biasa: bertuah,bertuah,Jawa
AMPUK,sentali,,
AMPUL,cari: mengampul,,prakategorial
AMPUN,pembebasan dari tuntutan karena melakukan kesalahan atau kekeliruan,ia selalu berdoa dan memohon -- atas segala dosa dan kesalahannya,
AMPUT,"cari: amputan, mengamput",,prakategorial
AMRIK,Amerika Serikat,dia sedang berlibur di --,Cakapan
AMRIL,kertas ampelas,,
AMSAL,misal,,Klasik
AMUBA,→ ameba,,
AMUDI,kayu untuk menahan ketam atau saringan sagu sehingga menghasilkan sari sagu,,
AMUNG,"tempat membawa barang yang terbuat dari kulit atau kain, diletakkan di punggung",,Gayo
ANAMI,"apartemen sederhana milik (apartemen yang status penguasaannya adalah hak milik dengan kualitas di atas rusunami, tetapi di bawah apartemen komersial)",,akronim
ANANG,anakku,,Cakapan
ANANI,hanya memikirkan diri sendiri,,Arab
ANAYE,rambut halus di dekat pelipis,,Melayu Ambon
ANBIA,nabi,,
ANCAI,rusak,,Minangkabau
ANCAK,"talam dibuat dari anyaman (bambu, daun atau lidi nyiur) untuk tempat barang yang disajikan kepada roh (hantu dan sebagainya)",,
ANCAM,rugi,,
ANCOA,bagaimana (dalam percakapan dengan atau di antara orang Cina),,Pronomina
ANCOK,keringat pada ketiak,,Batak
ANCOL,tanah yang menjorok ke laut,,
ANCUK,cari: mengancuk,,prakategorial
ANCUL,bunga alang-alang yang merusak pertumbuhan padi,,Sunda
ANCUR,→ hancur,,
ANCUT,tempat terpencil,,Bali
ANDAI,peristiwa yang dianggap mungkin terjadi,semuanya itu hanya -- saja,
ANDAK,gulung,,
ANDAL,dapat dipercaya,,
ANDAM,atur,,
ANDAN,bulai,,
ANDAP,"bawah, kurang",,
ANDAR,urai,,Jawa
ANDEK,batas akhir,,Madura
ANDEM,batu yang diberi tali sebagai pemberat jaring agar ketika ditebarkan di laut tidak berpindah tempat,salah satu perlengkapan menjaring ikan yang harus ada adalah --,Jawa
ANDER,balok penyangga bubungan rumah,,Using
ANDES,pegunungan Amerika Selatan yang membentang di sepanjang pantai barat dari Panama ke Tierra del Fuego,,
ANDIK,anak didik,,Pramuka
ANDIL,saham,ia mempunyai -- di perusahaan itu,
ANDIR,mencari air untuk keperluan pertanian,,Sunda
ANDOI,"lagu dan tarian rakyat untuk menyambut tamu di Kabupaten Kutai, dinyanyikan secara bersama oleh pria dan wanita pada siang hari",,Musik
ANDOK,berhenti untuk duduk-duduk,setiap malam Minggu banyak orang -- di warung itu,Jawa
ANDUH,ikat,,
ANDUK,→ handuk,,
ANDUN,pergi (ke),Arjuna -- perang ke Kurusetra,Klasik
ANDUR,kereta beroda dua yang ditarik oleh kerbau,,
ANEHE,mengenal seseorang atau sesuatu dengan sangat baik,saya -- dia dan keluarganya karena sejak kecil kami tinggal di satu kampung,Nias
ANEKA,"banyak (macamnya, ragamnya)",mempertunjukkan -- tarian daerah,Numeralia
ANFAL,keadaan kritis karena serangan penyakit mendadak,sang suami sempat mengalami -- sesaat sebelum dilarikan ke rumah sakit,Belanda
ANFAS,sangat bernilai tinggi,,Arab
ANGAD,angkutan Angkatan Darat,,akronim
ANGAH,cari: terangah,,prakategorial
ANGAI,menjemur pakaian dengan cara diangin-anginkan di tempat yang teduh,,
ANGAN,pikiran,,
ANGAU,"terbayang atau terkenang kepada seseorang, terutama apabila dilamun cinta",,Melayu Riau
ANGEL,sukar,,Jawa
ANGGA,tanduk rusa,,
ANGGI,"nasi yang diolah dengan campuran rempah-rempah dan sayuran, rasanya enak dan wangi, biasa dibuat pada saat tertentu saja, misalnya pernikahan atau sunatan",menu yang paling digemari masyarakat Banten ketika perayaan pernikahan adalah --,Jawa
ANGGO,jenis kunyit hutan,,Abrap
ANGGU,→ peranggu,,
ANGIK,"menggilas kuntum padi dan diambil bijinya, biasanya untuk benih",proses -- dilakukan jika perontokan dengan mesin tidak sempurna,Jawa
ANGIN,gerakan udara dari daerah yang bertekanan tinggi ke daerah yang bertekanan rendah,tiupan -- kencang merobohkan beberapa rumah penduduk,
ANGIT,berbau seperti kerak terbakar,,
ANGKA,tanda atau lambang sebagai pengganti bilangan,-- 13,
ANGKE,nuri-nuri,,
ANGKI,terbang tinggi berkeliling sambil mengintai (tentang elang),elang itu -- di atas desa kami,Batak
ANGKO,"datar dan luas (tentang permukaan danau, laut, dan sebagainya)",permukaan danau ini --,Batak
ANGKU,mamak (dari pihak ibu),,Minangkabau
ANGLA,angkutan laut,,akronim
ANGLO,tungku kecil dengan arang sebagai bahan bakarnya,,
ANGON,menggembala,,Cakapan
ANGOP,kuap,,Cakapan
ANGOT,sakit lagi,,Cakapan
ANGSA,soang,,
ANGSU,ambil air,,Jawa
ANGUR,lebih baik ... daripada,,Adverbia
ANGUS,→ hangus,,
ANGUT,lelap,,
ANIAN,ani,,
